model,AUC
RESIDE,0.21631968070996532
RESIDE,0.20650164861207887
RESIDE,0.21723385303623813
RESIDE,0.20969800560987742
RESIDE,0.21146442758834122
RESIDE,0.20937035953326638
RESIDE,0.2105547777312942
RESIDE,0.2105173571122539
RESIDE,0.20499790623705896
RESIDE,0.21272778699373215
RESIDE,0.20797304216633478
RESIDE,0.2165802515126255
RESIDE,0.21127076448259433
RESIDE,0.21732245514374912
RESIDE,0.2178241053690329
RESIDE,0.22011700079304072
RESIDE,0.20784417322425547
RESIDE,0.18367315952107593
RESIDE,0.19053261814339653
RESIDE,0.2077468369640282
RESIDE,0.20190808767899088
RESIDE,0.18005021085423706
RESIDE,0.18241258855694722
RESIDE,0.20093763345741752
RESIDE,0.19789021553050815
RESIDE,0.1814280195363035
RESIDE,0.19284709399115738
RESIDE,0.19287652044642162
RESIDE,0.17526933239280174
RESIDE,0.18712877002546446
RESIDE,0.2279654378476755
RESIDE,0.18993865926960243
RESIDE,0.1665295014586076
RESIDE,0.2117744022818563
RESIDE,0.19338301890654078
RESIDE,0.18173486881372858
RESIDE,0.17433053271985557
RESIDE,0.16216360863965737
RESIDE,0.1631749098071615
RESIDE,0.18294062711325065
RESIDE,0.2108781795778752
RESIDE,0.20908276713124266
PCNNATT,0.15020986623187021
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.15079896214856212
PCNNATT,0.14023103039400744
PCNNATT,0.13129220081971618
PCNNATT,0.17295194140313416
PCNNATT,0.15234422764215055
PCNNATT,0.1731164933245811
PCNNATT,0.16362499399558103
PCNNATT,0.14584727428631777
PCNNATT,0.15694542905664496
PCNNATT,0.14129772558841902
PCNNATT,0.17046236260745276
PCNNATT,0.13797101001032086
PCNNATT,0.16693368381177798
PCNNATT,0.12969818834139127
PCNNATT,0.1386079359862345
PCNNATT,0.13846120126745443
PCNNATT,0.18981444264551364
PCNNATT,0.13135761118687514
PCNNATT,0.1355730237582395
PCNNATT,0.16943163160267558
PCNNATT,0.13995754129480079
PCNNATT,0.1566694003154671
PCNNATT,0.1457079443234975
PCNNATT,0.13751966348088027
PCNNATT,0.1657968377216152
PCNNATT,0.16270579828082585
PCNN,0.19741436004624302
PCNN,0.19741436004624302
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.18841489143266768
PCNN,0.17100263381915717
PCNN,0.14574437856166528
PCNN,0.1420783712000956
PCNN,0.13033764856360458
PCNN,0.17500663827865998
PCNN,0.15939237843474457
PCNN,0.1386664454560676
PCNN,0.1807446620958371
PCNN,0.17607997486548077
PCNN,0.15944132952406936
PCNN,0.1311527648471966
PCNN,0.12301097492321937
PCNN,0.1486124653270455
PCNN,0.11991103403584265
PCNN,0.19173152557145345
PCNN,0.13850026892690245
PCNN,0.1637851259428571
PCNN,0.16246166996172887
PCNN,0.18196655479219792
PCNN,0.15610100974015625
PCNN,0.1749893935223065
PCNN,0.14634336958675492
PCNN,0.14284073802712394
PCNN,0.2130111276584365
PCNN,0.20593856729006
CNNATT,0.19060785138833758
CNNATT,0.19060785138833758
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.1426574111741502
CNNATT,0.18395557392287792
CNNATT,0.20452964597152792
CNNATT,0.207486628717505
CNNATT,0.19422752628154552
CNNATT,0.18481268143161475
CNNATT,0.16717770786670352
CNNATT,0.1826617719249371
CNNATT,0.18973244309026227
CNNATT,0.24153979384139487
CNNATT,0.18009582506239682
CNNATT,0.18189489320821783
CNNATT,0.20956403103252957
CNNATT,0.16321755297863785
CNNATT,0.15514042717662976
CNNATT,0.1904953415849336
CNNATT,0.16705720618523914
CNNATT,0.1941664764413408
CNNATT,0.2011229763999847
CNNATT,0.21471655215882315
CNNATT,0.16356812358522616
CNNATT,0.19388230884763585
CNNATT,0.20663766750353926
CNNATT,0.1731940890979341
CNNATT,0.18212879078448446
CNNATT,0.15977834485898346
CNNATT,0.15230687315882963
CNN,0.18723629988169066
CNN,0.18723629988169066
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.17843829805084482
CNN,0.20418540685516123
CNN,0.157089071065128
CNN,0.22192565650452614
CNN,0.18811856667931326
CNN,0.18365329323966087
CNN,0.21397241152930946
CNN,0.19633137000220266
CNN,0.1906331655035936
CNN,0.23977620419188336
CNN,0.1707915055977566
CNN,0.20392818787784806
CNN,0.22324411687796017
CNN,0.17846066074894124
CNN,0.2013847577031306
CNN,0.23162836463579234
CNN,0.20252182882526107
CNN,0.2166818559651837
CNN,0.25134098067596167
CNN,0.17656751983507016
CNN,0.22150332641218923
CNN,0.20476533043310838
CNN,0.20487843842638412
CNN,0.20584381208105926
CNN,0.17328428299493834
CNN,0.16345029974832267
CNN,0.19836426784851427
BGWA,0.4159641976749826
BGWA,0.41547402150456764
BGWA,0.41927247034451987
BGWA,0.4260385278360799
BGWA,0.40924819499662884
BGWA,0.41572515899807455
BGWA,0.4261417406992184
BGWA,0.41737988419784705
BGWA,0.40491145632984116
BGWA,0.40886444295414454
BGWA,0.41188784585252997
BGWA,0.40969553225554206
BGWA,0.4179430877994972
BGWA,0.4245308420739695
BGWA,0.41559630811581333
BGWA,0.41907002836939483
BGWA,0.38780549028458333
BGWA,0.4075557185106353
BGWA,0.3550696054215191
BGWA,0.4533400155416719
BGWA,0.4368652949888192
BGWA,0.39249415858580317
BGWA,0.40451534991675353
BGWA,0.4319163285690103
BGWA,0.3622878899588202
BGWA,0.39497039669647444
BGWA,0.4081241109669923
BGWA,0.3837172385105367
BGWA,0.4167610795283991
BGWA,0.40173887735546737
BGWA,0.3855065519915517
BGWA,0.39178689831063285
BGWA,0.4131192083744064
BGWA,0.41833060367561714
BGWA,0.40693388830029414
BGWA,0.4301141359539943
BGWA,0.4072836374535458
BGWA,0.42634607636629657
BGWA,0.41325210127677775
BGWA,0.3942873296754092
BGWA,0.38318005555824347
BGWA,0.43508958624858135
